id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
11535,Rollerball,3.998,434,Released,2002-02-08,25852764,98,False,/xnBZxfqR6EqbrIyb3yfU1w90n6q.jpg,70000000,,tt0246894,en,Rollerball,"In this fast action-packed thriller, Jonathan, Marcus, and Aurora compete in a dangerous, fierce sport called Rollerball. Although, Johnathan and Marcus try to quit, cruel and vindictive promoter Alexi Petrovich encourages them to still participate.",9.583,/5Wquo3EjfDpK7S1BHcybuC3TZDO.jpg,Go Ballistic,"Action, Science Fiction, Thriller","Atlas Entertainment, TOHO-TOWA, Mosaic Media Group, Yorktown Productions, Helkon Media, Metro-Goldwyn-Mayer","Germany, Japan, United States of America","German, French, Japanese, Korean, Russian, Arabic, English","arena, sports, manager, dystopia, wrestling, roller-skating, motor sport, roller skating, future sport"
563907,All You Need is Crime,5.912,434,Released,2019-01-10,4695495,98,False,/6ZIx11OQh6nrMRBNeVZuqLRNhqq.jpg,0,,tt7475206,it,Non ci resta che il crimine,"In the present day, three friends to make ends meet invent a ""criminal tour"" for the places which were scenes of the Banda della Magliana criminal acts, even with vintage clothes. Suddenly they are catapulted in the 1982, during the Spain World Cup, facing the real Banda della Magliana, which at that time had the control over illegal bets.",5.721,/aDGL90fBZs0vNDdl0qPxmCMlkW.jpg,,Comedy,"RAI Cinema, Italian International Film, IIF - Lucisano Media Group",Italy,Italian,
306964,Tales of Halloween,5.732,433,Released,2015-10-16,416792,97,False,/6Fueh9poh3alPhAiM1xGuV6c5GF.jpg,0,,tt4163020,en,Tales of Halloween,"Ten stories from horror's top directors. Ghosts, ghouls, monsters, and the devil delight in terrorizing unsuspecting residents of a suburban neighborhood on Halloween night. This creepy anthology combines classic Halloween tales with the stuff of nightmares.",9.709,/fc4YBCqjfXv8EZpV5MpNsKPW3fY.jpg,One town. One night. Ten chilling stories.,"Horror, Thriller, Drama","Film Entertainment Services, Epic Pictures Group",United States of America,English,"witch, based on novel or book, halloween, anthology, death, evil, trick or treating, woman director"
8333,The Taking of Pelham One Two Three,7.42,433,Released,1974-10-02,0,104,False,/wDLUp63wIE6NeWHAcJkCijhI3M8.jpg,0,,tt0072251,en,The Taking of Pelham One Two Three,"In New York, armed men hijack a subway car and demand a ransom for the passengers. Even if it's paid, how could they get away?",12.043,/vNhywp9w1DVG6BytxKp4kjtaaGC.jpg,We are going to kill one passenger a minute until New York City pays us 1 million dollars.,"Crime, Thriller, Action","Palladium, Palomar Pictures International",United States of America,English,"new york city, kidnapping, hostage, liberation of hostage, 1970s, mayor, hostage-taking, remake, police officer, new york subway"
73873,Albert Nobbs,6.32,433,Released,2011-12-21,5634828,113,False,/oZbLtVbpNFmDa58woYqHBpHDxwt.jpg,8000000,http://albertnobbs-themovie.com,tt1602098,en,Albert Nobbs,"Albert Nobbs struggles to survive in late 19th century Ireland, where women aren't encouraged to be independent. Posing as a man, so she can work as a butler in Dublin's most posh hotel, Albert meets a handsome painter and looks to escape the lie she has been living.",12.059,/68fdlvmqTWGC2y5nGXQE5RfgNB5.jpg,A man with a secret. A woman with a dream.,Drama,"Mockingbird Pictures, Trillium Productions, Parallel Film Productions, Morrison Films, WestEnd Films, DragonCove Studios, Chrysalis Films, Allen & Associates, Canal+, Fís Éireann/Screen Ireland","United States of America, France, Ireland, United Kingdom",English,"butler, dublin, ireland, maid"
179150,Reality,7.12,433,Released,2014-08-28,423619,87,False,/dsqlBtXS5DJBrFYTIYJuSD5YatF.jpg,0,http://diaphana.fr/film/realite,tt2392672,fr,Réalité,"A wanna-be director is given 48 hours by a producer to find the best groan of pain, worthy of an Oscar, as the only condition to back his film.",9.248,/l6aty0lfqsTefZ5xduwT7D44N1q.jpg,,Comedy,"Orange Sky, Realitism Films, Rubber Films","Belgium, France","French, English",
14817,Good Burger,5.999,433,Released,1997-07-25,23700000,95,False,/uspl1q33hHjKVq0VagY3aci3RaC.jpg,8500000,,tt0119215,en,Good Burger,Two hapless youths lead their burger joint in a fight against the giant fast-food chain across the street.,21.959,/9Lxw2CCPceBzViBsA00za4oP6OZ.jpg,A comedy with everything on it.,"Family, Comedy","Paramount, Nickelodeon Movies",United States of America,English,"competition, fast food restaurant"
8366,Manitou's Shoe,6.827,433,Released,2001-07-11,75675074,87,False,/xto7S7W6e59xMPT8s9p2X91Ep4j.jpg,0,,tt0248408,de,Der Schuh des Manitu,"Abahachi, Chief of the Apache Indians, and his blood brother Ranger maintain peace and justice in the Wild West. One day, Abahachi needs to take up a credit from the Shoshone Indians to finance his tribe's new saloon. Unfortunately Santa Maria, who sold the saloon, betrays Abahachi, takes the money and leaves. Soon, the Shoshones are on the warpath to get their money back, and Abahachi is forced to organize it quickly.",9.426,/pBxSZ1zt8jvKER5WSA0eKNFouLO.jpg,,"Comedy, Western","Seven Pictures, herbX Film, Constantin Film",Germany,German,"indian territory, apache nation, native american, parody"
336011,White Girl,5.639,433,Released,2016-09-02,200242,88,False,/zW0hp6O61wzWhf1IES7raTBpSS4.jpg,700000,http://www.whitegirl.nyc,tt4129870,en,White Girl,"Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back.",13.419,/zBmIjDObX0qMQbTWn3qBAANopUx.jpg,,Drama,"Bank Street Films, Killer Films, Supermarché, Greencard Pictures",United States of America,English,"drug dealer, new york city, sexual promiscuity, undercover cop, woman director, money problems, college roommate"
12491,Accattone,7.7,433,Released,1961-09-25,0,117,False,/rJSCS5EP9JGjNECa5hEB9Bsibjf.jpg,0,,tt0054599,it,Accattone,A pimp with no other means to provide for himself finds his life spiralling out of control when his prostitute is sent to prison.,10.829,/oHtbdVEVk0lSU0QRlXeUWxhcI2u.jpg,"The Poor Man's ""Dolce Vita""",Drama,"Cino del Duca, Arco Film",Italy,Italian,"prostitute, robbery, rome, italy, pimp, poverty"
